participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,reconstruct_pcorrect_eeg_final,STV_regress_eeg_final,PCorrectChange,previousPCorrect
1,m,34,0,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,1,blue,blue,1,0.580590128898621,71619.2846795,1.48235029999341,5,1,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.891335,0.5974612,-0.0002330207,0.0805901288986206,0.5
1,m,34,0,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,2,green,neither,0,0.5,71621.4605407,2.17586120001215,5,2,,,,,,,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.367559,0.5925037,-0.0003104816,-0.0805901288986206,0.580590128898621
1,m,34,0,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,3,blue,blue,1,0.584094047546387,71623.2125768,1.75203609999153,1,4,53,71626.3593203,1,1,,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.23948,0.580287,-0.0005013672,0.0840940475463867,0.5
1,m,34,0,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,4,blue,blue,2,0.668188095092773,71628.6037668,5.39119000000937,5,4,,,,,,,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.963382,0.6065138,-9.157303e-05,0.0840940475463867,0.584094047546387
1,m,34,0,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,5,green,blue,1,0.588098526000977,71630.6117218,2.00795499999367,3,1,,,,,,,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.649868,0.6069272,-8.51137e-05,-0.0800895690917969,0.668188095092773
1,m,34,0,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,6,green,neither,0,0.5,71632.5238376,1.91211580000527,4,5,,,,,,,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,7.517833,0.613871,2.338468e-05,-0.0880985260009766,0.588098526000977
1,m,34,1,1,decreasing,10,15,10,7,1,blue,1,blue,1,180,180,71617.8023292,71644.1929269,71644.1976122,7,blue,blue,1,0.592735290527344,71634.6037486,2.07991099999344,3,3,60,71638.2793002,1,1,1,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,7.661774,0.6102741,-3.281783e-05,0.0927352905273438,0.5
1,m,34,0,2,decreasing,12,13,12,4,2,green,1,blue,0,-100,80,71645.2611734,71661.9395253,71661.940886,1,blue,blue,1,0.580590128898621,71647.3160633,2.05488989999867,5,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-11.99148,0.5759642,-0.0005689116,0.0805901288986206,0.5
1,m,34,0,2,decreasing,12,13,12,4,2,green,1,blue,0,-100,80,71645.2611734,71661.9395253,71661.940886,2,green,neither,0,0.5,71649.4996249,2.18356160000258,1,3,52,71653.095291,2,1,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.23602,0.603203,-0.0001433044,-0.0805901288986206,0.580590128898621
1,m,34,0,2,decreasing,12,13,12,4,2,green,1,blue,0,-100,80,71645.2611734,71661.9395253,71661.940886,3,green,green,1,0.584094047546387,71654.9081476,5.40852270000323,3,1,,,,,,,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.92638,0.6345135,0.0003459228,0.0840940475463867,0.5
1,m,34,1,2,decreasing,12,13,12,4,2,green,1,blue,0,-100,80,71645.2611734,71661.9395253,71661.940886,4,green,green,2,0.668188095092773,71657.2277887,2.31964109999535,2,2,62,71663.9271832,2,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.31154,0.5919356,-0.0003193583,0.0840940475463867,0.584094047546387
1,m,34,0,3,decreasing,11,14,11,7,2,green,1,blue,0,-100,-20,71664.9929483,71696.4837068,71696.4850232,1,green,green,1,0.580590128898621,71666.4037122,1.41076389999944,3,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-14.38939,0.6316808,0.0003016616,0.0805901288986206,0.5
1,m,34,0,3,decreasing,11,14,11,7,2,green,1,blue,0,-100,-20,71664.9929483,71696.4837068,71696.4850232,2,blue,neither,0,0.5,71668.4433849,2.0396727000043,5,4,51,71673.5352909,2,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-0.6261898,0.6041853,-0.0001279562,-0.0805901288986206,0.580590128898621
1,m,34,0,3,decreasing,11,14,11,7,2,green,1,blue,0,-100,-20,71664.9929483,71696.4837068,71696.4850232,3,green,green,1,0.584094047546387,71675.8677485,7.42436359998828,3,1,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3.22989,0.6101134,-3.532881e-05,0.0840940475463867,0.5
1,m,34,0,3,decreasing,11,14,11,7,2,green,1,blue,0,-100,-20,71664.9929483,71696.4837068,71696.4850232,4,blue,neither,0,0.5,71678.1476631,2.27991460000339,2,2,,,,,,,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,11.20814,0.6086607,-5.802815e-05,-0.0840940475463867,0.584094047546387
1,m,34,0,3,decreasing,11,14,11,7,2,green,1,blue,0,-100,-20,71664.9929483,71696.4837068,71696.4850232,5,green,green,1,0.588098526000977,71680.9953557,2.8476926000003,4,2,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1.357505,0.6111812,-1.8645e-05,0.0880985260009766,0.5
1,m,34,0,3,decreasing,11,14,11,7,2,green,1,blue,0,-100,-20,71664.9929483,71696.4837068,71696.4850232,6,blue,neither,0,0.5,71683.1076198,2.11226409999654,2,4,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,4.725567,0.5847989,-0.0004308681,-0.0880985260009766,0.588098526000977
