participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,reconstruct_pcorrect_eeg_final,STV_regress_eeg_final,PCorrectChange,previousPCorrect
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,1,green,green,1,0.580590128898621,868631.8503926,2.14523420005571,3,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7.964588,0.7292811,0.0003037257,0.0805901288986206,0.5
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,2,blue,neither,0,0.5,868634.3303046,2.47991199989337,5,4,51,868639.8210215,2,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,18.45921,0.6914465,-0.0002874373,-0.0805901288986206,0.580590128898621
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,3,green,green,1,0.584094047546387,868643.9464852,9.61618060001638,3,1,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-0.7539789,0.6337392,-0.001189115,0.0840940475463867,0.5
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,4,blue,neither,0,0.5,868646.0015186,2.05503340007272,2,2,,,,,,,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10.64308,0.6128039,-0.001516227,-0.0840940475463867,0.584094047546387
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,5,green,green,1,0.588098526000977,868647.9375959,1.93607729999349,4,2,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-6.01273,0.5979078,-0.001748979,0.0880985260009766,0.5
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,6,blue,neither,0,0.5,868650.7693755,2.83177960000467,2,4,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,4.229211,0.681906,-0.0004365088,-0.0880985260009766,0.588098526000977
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,7,green,green,1,0.592735290527344,868653.0812117,2.31183619995136,4,1,54,868661.9010275,2,1,,1,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,12.049,0.6806506,-0.000456123,0.0927352905273438,0.5
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,8,green,green,2,0.685470581054688,868665.7292492,12.648037499981,4,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,3.310249,0.6371686,-0.001135528,0.0927352905273438,0.592735290527344
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,9,green,green,3,0.772750854492188,868668.2095415,2.4802922999952,3,3,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,0,2,1,0,0,2,0,0,0,2.77535,0.6922219,-0.0002753225,0.0872802734375,0.685470581054688
14,m,26,0,1,fixed,11,14,11,23,1,blue,1,blue,1,100,100,868629.7051584,868728.3029386,868728.3042241,10,blue,green,2,0.696380615234375,868670.225512,2.01597050006967,3,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,-2.179258,0.7314457,0.0003375497,-0.0763702392578125,0.772750854492188
