participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,reconstruct_pcorrect_eeg_final,STV_regress_eeg_final,PCorrectChange,previousPCorrect
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,1,red,red,1,0.580590128898621,839187.2165145,15.2387544999365,2,1,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.243699,0.7214509,0.000162306,0.0805901288986206,0.5
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,2,orange,neither,0,0.5,839190.1370537,2.92053920007311,2,3,51,839196.1959319,2,1,,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.621124,0.6978823,-0.0002059528,-0.0805901288986206,0.580590128898621
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,3,orange,orange,1,0.584094047546387,839198.6410792,8.5040254999185,5,3,,,,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.19843,0.6887532,-0.0003485947,0.0840940475463867,0.5
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,4,red,neither,0,0.5,839200.9041083,2.26302910002414,3,4,,,,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,-9.701287,0.6925241,-0.000289674,-0.0840940475463867,0.584094047546387
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,5,red,red,1,0.588098526000977,839203.1123877,2.20827940001618,2,4,,,,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,-18.79556,0.7053192,-8.974806e-05,0.0880985260009766,0.5
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,6,red,red,2,0.676197052001953,839205.1683242,2.05593649996445,4,4,55,839213.9399128,2,1,,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,6.197548,0.6724871,-0.0006027536,0.0880985260009766,0.588098526000977
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,7,orange,red,1,0.592735290527344,839215.6243461,10.4560219000559,5,2,,,,,,,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,38.48094,0.6788661,-0.0005030837,-0.0834617614746094,0.676197052001953
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,8,orange,neither,0,0.5,839217.4163279,1.79198179999366,3,1,,,,,,,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,-1.678916,0.7385475,0.0004294413,-0.0927352905273438,0.592735290527344
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,9,red,red,1,0.598190307617188,839222.200312,4.78398409998044,5,5,,,,,,,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,2,0,-6.132422,0.7167655,8.909818e-05,0.0981903076171875,0.5
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,10,orange,neither,0,0.5,839226.0001724,3.79986040003132,3,2,,,,,,,0,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,2,0,1.222873,0.7546853,0.0006815939,-0.0981903076171875,0.598190307617188
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,11,orange,orange,1,0.604736328125,839234.8322539,8.83208149997517,5,1,,,,,,,0,2,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,2,0,-1.807631,0.6948245,-0.00025373,0.104736328125,0.5
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,12,orange,orange,2,0.70947265625,839237.8162935,2.98403960000724,4,2,,,,,,,0,2,1,0,1,0,0,1,1,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,2,0,22.59127,0.6579353,-0.0008301269,0.104736328125,0.604736328125
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,13,red,orange,1,0.61279296875,839241.0002147,3.18392119999044,4,5,,,,,,,0,2,1,0,1,0,0,1,1,1,0,1,0,0,1,0,2,2,2,0,0,0,0,2,2,0,2.908908,0.7707666,0.0009328646,-0.0966796875,0.70947265625
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,14,red,neither,0,0.5,839243.7042434,2.70402870001271,2,2,53,839248.4997465,1,1,,2,0,2,1,0,1,0,2,1,1,1,0,1,0,0,1,0,2,2,2,0,0,0,0,2,2,0,1.970486,0.7479398,0.0005761957,-0.11279296875,0.61279296875
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,15,orange,orange,1,0.623046875,839250.9041182,7.19987479993142,4,1,,,,,,,0,2,1,1,1,0,2,1,1,1,0,1,0,0,1,0,2,2,2,0,0,0,0,2,2,0,8.289146,0.7477135,0.0005726606,0.123046875,0.5
11,m,19,0,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,16,red,neither,0,0.5,839258.528222,7.6241038000444,1,3,,,,,,,0,2,1,1,1,0,2,1,1,1,2,1,0,0,1,0,2,2,2,0,0,0,0,2,2,0,6.262077,0.6697304,-0.0006458261,-0.123046875,0.623046875
11,m,19,1,1,decreasing,9,9,16,17,1,orange,2,red,0,-100,-100,839171.97776,839268.8587938,839268.8591931,17,red,red,1,0.63671875,839261.2641446,2.73592260002624,1,4,49,839274.7476877,1,1,1,0,0,2,1,1,1,0,2,1,1,1,2,1,0,0,1,2,2,2,2,0,0,0,0,2,2,0,6.160339,0.6941131,-0.000264845,0.13671875,0.5
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,1,orange,orange,1,0.580590128898621,839280.6006262,4.78968889999669,3,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51849,0.7027068,-0.0001305703,0.0805901288986206,0.5
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,2,red,neither,0,0.5,839283.6722318,3.07160560006741,4,2,51,839287.2357134,2,1,,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183849,0.7354634,0.0003812506,-0.0805901288986206,0.580590128898621
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,3,red,red,1,0.584094047546387,839288.872718,5.20048619993031,3,3,,,,,,,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45837,0.6987538,-0.0001923348,0.0840940475463867,0.5
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,4,red,red,2,0.668188095092773,839291.1682236,2.29550560005009,2,1,,,,,,,0,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06703424,0.6744125,-0.0005726684,0.0840940475463867,0.584094047546387
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,5,orange,red,1,0.588098526000977,839293.456168,2.28794439998455,4,4,,,,,,,0,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6.921301,0.6969511,-0.0002205022,-0.0800895690917969,0.668188095092773
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,6,red,red,2,0.676197052001953,839295.9278387,2.47167070000432,4,3,,,,,,,0,2,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,22.70685,0.7188366,0.0001214596,0.0880985260009766,0.588098526000977
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,7,orange,red,1,0.592735290527344,839298.688208,2.76036930002738,1,5,,,,,,,0,2,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,14.92957,0.7877249,0.001197838,-0.0834617614746094,0.676197052001953
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,8,orange,neither,0,0.5,839301.0801461,2.39193809998687,2,5,51,839304.6436528,2,1,,2,0,2,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,1,1,0,0,0,0,2.128005,0.681443,-0.0004628157,-0.0927352905273438,0.592735290527344
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,9,red,red,1,0.598190307617188,839307.4161567,6.33601059997454,5,4,,,,,,,0,2,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,2,1,1,0,0,0,0,22.21762,0.7162215,8.059596e-05,0.0981903076171875,0.5
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,10,orange,neither,0,0.5,839310.6641261,3.24796940002125,3,2,,,,,,,0,2,1,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,1,2,1,1,0,0,0,0,-4.030086,0.7002881,-0.0001683625,-0.0981903076171875,0.598190307617188
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,11,red,red,1,0.604736328125,839323.4961661,12.8320400000084,2,3,,,,,,,0,2,1,0,0,0,0,1,2,0,0,2,2,2,0,0,0,0,1,2,1,1,0,0,0,0,-1.674291,0.7421999,0.0004865099,0.104736328125,0.5
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,12,red,red,2,0.70947265625,839325.8721251,2.37595899996813,2,2,,,,,,,0,2,1,0,0,0,2,1,2,0,0,2,2,2,0,0,0,0,1,2,1,1,0,0,0,0,0.4337665,0.7315834,0.000320625,0.104736328125,0.604736328125
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,13,orange,red,1,0.61279296875,839328.5361118,2.6639867000049,5,5,,,,,,,0,2,1,0,0,0,2,1,2,0,0,2,2,2,0,0,0,0,1,2,1,1,0,0,1,0,5.972065,0.6738414,-0.0005815926,-0.0966796875,0.70947265625
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,14,red,red,2,0.7255859375,839331.0801997,2.54408789996523,3,4,,,,,,,0,2,1,0,0,0,2,1,2,0,0,2,2,2,0,0,0,2,1,2,1,1,0,0,1,0,6.417856,0.7679847,0.0008893971,0.11279296875,0.61279296875
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,15,orange,red,1,0.623046875,839338.7441309,7.66393120004795,3,5,52,839343.6597219,2,1,,1,0,2,1,0,0,0,2,1,2,0,0,2,2,2,0,0,0,2,1,2,1,1,1,0,1,0,-1.106856,0.8042959,0.001456759,-0.1025390625,0.7255859375
11,m,19,0,2,decreasing,12,12,13,25,2,red,2,red,1,0,-100,839275.8109373,839396.1206852,839396.1217345,16,orange,neither,0,0.5,839346.3520372,7.60790629999246,1,4,,,,,,,0,2,1,0,0,0,2,1,2,0,0,2,2,2,0,1,0,2,1,2,1,1,1,0,1,0,-1.402528,0.7344126,0.0003648323,-0.123046875,0.623046875
