participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,reconstruct_pcorrect_eeg_final,STV_regress_eeg_final,PCorrectChange,previousPCorrect
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,1,green,green,1,0.580590128898621,853912.7386951,1.64127579994965,3,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14.33424,0.7360802,0.0006177855,0.0805901288986206,0.5
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,2,blue,neither,0,0.5,853914.930668,2.19197290006559,5,4,51,853920.7656497,2,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,11.19871,0.6985272,3.102017e-05,-0.0805901288986206,0.580590128898621
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,3,green,green,1,0.584094047546387,853922.4986542,7.56798619998153,3,1,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-10.78304,0.708083,0.0001803298,0.0840940475463867,0.5
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,4,blue,neither,0,0.5,853924.7459347,2.24728050001431,2,2,,,,,,,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,16.25636,0.6974453,1.411629e-05,-0.0840940475463867,0.584094047546387
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,5,green,green,1,0.588098526000977,853927.4978768,2.75194210000336,4,2,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,17.55869,0.7612189,0.001010578,0.0880985260009766,0.5
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,6,blue,neither,0,0.5,853930.0659203,2.56804349995218,2,4,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,15.31743,0.6786556,-0.0002794726,-0.0880985260009766,0.588098526000977
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,7,green,green,1,0.592735290527344,853932.3939418,2.32802150002681,4,1,51,853937.7254708,2,1,,1,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,15.51725,0.6748546,-0.0003388632,0.0927352905273438,0.5
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,8,green,green,2,0.685470581054688,853940.3455412,7.95159940002486,4,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,6.950323,0.6660807,-0.0004759568,0.0927352905273438,0.592735290527344
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,9,green,green,3,0.772750854492188,853942.4419004,2.09635919996072,3,3,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,0,2,1,0,0,2,0,0,0,2.206636,0.7694983,0.001139945,0.0872802734375,0.685470581054688
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,10,blue,green,2,0.696380615234375,853944.7538525,2.31195210001897,3,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,12.38478,0.6713163,-0.0003941476,-0.0763702392578125,0.772750854492188
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,11,blue,green,1,0.604736328125,853948.3698555,3.61600299994461,5,1,,,,,,,0,0,2,2,1,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,12.88275,0.7105821,0.0002193793,-0.091644287109375,0.696380615234375
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,12,blue,neither,0,0.5,853950.8819168,2.51206130010542,1,1,,,,,,,1,0,2,2,1,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,1.94061,0.7129144,0.0002558214,-0.104736328125,0.604736328125
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,13,blue,blue,1,0.61279296875,853953.2498748,2.36795799992979,2,3,,,,,,,1,0,2,2,1,0,1,0,2,0,0,1,2,0,0,0,1,1,2,1,0,0,2,0,0,0,17.10858,0.7043685,0.0001222924,0.11279296875,0.5
12,f,26,0,1,fixed,11,14,11,25,1,blue,1,blue,1,100,100,853911.0974193,854019.7944967,854019.7953389,14,blue,blue,2,0.7255859375,853955.7298512,2.4799764000345,1,4,,,,,,,1,0,2,2,1,0,1,0,2,0,0,1,2,0,0,1,1,1,2,1,0,0,2,0,0,0,18.37471,0.7673423,0.001106252,0.11279296875,0.61279296875
